fullcurrname,CAS_SPC
Labeobarbus aeneus,1361
Labeobarbus aeneus,1362
Labeobarbus aeneus,1363
Labeobarbus aeneus,1364
Pseudobarbus afer,1365
Pseudobarbus senticeps,1366
Enteromius afrohamiltoni,1367
Enteromius afrohamiltoni,1368
Enteromius afrovernayi,1369
Enteromius afrovernayi,1370
Enteromius potamogalis,1372
Luciobarbus albanicus,1373
Enteromius alberti,1374
Labeobarbus NULL,1375
Enteromius aloyi,1376
Labeobarbus altianalis,1379
Labeobarbus altianalis,1381
Labeobarbus altianalis,1382
Labeobarbus altianalis,1383
Labeobarbus altianalis,1384
Labeobarbus altianalis,1385
Labeobarbus altianalis,1386
Labeobarbus altianalis,1387
Labeobarbus altianalis,1388
Labeobarbus altianalis,1389
Labeobarbus codringtonii,1390
Enteromius brazzai,1391
Enteromius amanpoae,1392
Enteromius amboseli,1393
Enteromius paludinosus,1394
Enteromius paludinosus,1395
Enteromius paludinosus,1396
Enteromius paludinosus,1397
Cheilobarbus capensis,1398
Enteromius anema,1399
Enteromius annectens,1400
Enteromius anniae,1401
Enteromius anoplus,1402
Enteromius anoplus,1403
Enteromius anoplus,1404
Enteromius apleurogramma,1405
Enteromius apleurogramma,1406
Enteromius apleurogramma,1407
Enteromius salessei,1408
Enteromius arambourgi,1409
Enteromius arcislongae,1410
Enteromius argenteus,1411
Pseudobarbus asper,1412
Enteromius aspilus,1413
Labeobarbus aspius,1414
Enteromius atakorensis,1415
Enteromius atkinsoni,1416
Enteromius atromaculatus,1417
Enteromius atromaculatus,1418
Enteromius bagbwensis,1419
Enteromius barnardi,1420
Luciobarbus bocagei,1421
Luciobarbus sclateri,1422
Enteromius barotseensis,1423
Enteromius apleurogramma,1424
Labeobarbus wurtzi,1425
Labeobarbus batesii,1426
Labeobarbus batesii,1427
Enteromius baudoni,1428
Enteromius baudoni,1429
Enteromius baudoni,1430
Enteromius baudoni,1431
Enteromius bawkuensis,1432
Carasobarbus canis,1433
Capoeta damascina,1434
Clypeobarbus bellcrossi,1435
Enteromius boboi,1436
Enteromius bourdariei,1437
Luciobarbus brachycephalus,1438
Luciobarbus caspius,1439
Enteromius brachygramma,1440
Enteromius brazzai,1441
Enteromius breviceps,1442
Enteromius brevidorsalis,1443
Enteromius brevilateralis,1444
Enteromius brevipinnis,1445
Labeobarbus brevispinis,1446
Labeobarbus brevispinis,1447
Enteromius brichardi,1448
Pseudobarbus burchelli,1449
Pseudobarbus burgi,1451
Labeobarbus bynni,1452
Labeobarbus bynni,1453
Labeobarbus bynni,1455
Labeobarbus bynni,1456
Enteromius cadenati,1457
Sedercypris calidus,1458
Luciobarbus callensis,1459
Luciobarbus setivimensis,1460
Luciobarbus setivimensis,1461
Luciobarbus ksibi,1462
Luciobarbus antinorii,1463
Luciobarbus biscarensis,1464
Luciobarbus figuigensis,1465
Luciobarbus pallaryi,1466
Labeobarbus altianalis,1467
Luciobarbus massaensis,1468
Luciobarbus issenensis,1469
Carasobarbus moulouyensis,1470
Carasobarbus grandisquamatus,1471
Luciobarbus amguidensis,1472
Luciobarbus bouramensis,1473
Luciobarbus lepineyi,1474
Enteromius callipterus,1475
Enteromius camptacanthus,1476
Enteromius camptacanthus,1477
Enteromius candens,1478
Carasobarbus canis,1479
Cheilobarbus capensis,1480
Labeobarbus seeberi,1481
Luciobarbus capito,1486
Luciobarbus capito,1487
Luciobarbus kersin,1488
Luciobarbus conocephalus,1489
Labeobarbus cardozoi,1490
Enteromius carens,1491
Enteromius catenarius,1492
Enteromius caudosignatus,1493
Labeobarbus caudovittatus,1494
Labeobarbus caudovittatus,1496
Labeobarbus caudovittatus,1497
Labeobarbus caudovittatus,1498
Labeobarbus caudovittatus,1499
Labeobarbus pojeri,1500
Enteromius alberti,1501
Carasobarbus chantrei,1502
Naziritor chelynoides,1503
Enteromius chicapaensis,1504
Enteromius chlorotaenia,1505
Enteromius choloensis,1506
Barbus ciscaucasicus,1507
Enteromius citrinus,1508
Enteromius clauseni,1509
Labeobarbus codringtonii,1510
Labeobarbus codringtonii,1511
Enteromius collarti,1512
Luciobarbus comizo,1513
Labeobarbus compiniei,1515
Clypeobarbus congicus,1517
NULL,1518
Pethia cumingii,1519
Barbus cyclolepis,1520
Labeobarbus dartevellei,1522
Enteromius deguidei,1523
Enteromius deserti,1524
Enteromius dialonensis,1525
Enteromius ditinensis,1526
Enteromius perince,1527
Enteromius perince,1528
Enteromius dorsolineatus,1529
Enteromius eburneensis,1530
Labeobarbus polylepis,1531
Labeobarbus ensis,1532
Sedercypris erubescens,1533
Enteromius erythrozonus,1534
Luciobarbus esocinus,1535
Luciobarbus esocinus,1536
Labeobarbus ethiopicus,1537
Labeobarbus johnstonii,1538
Labeobarbus latirostris,1539
Barbus euboicus,1540
Enteromius eutaenia,1541
Enteromius evansi,1542
Desmopuntius johorensis,1543
Enteromius fasciolatus,1544
Enteromius fasciolatus,1545
Labeobarbus fasolt,1546
Labeobarbus bynni,1548
Labeobarbus bynni,1549
Labeobarbus bynni,1550
Enteromius macrops,1551
Carasobarbus fritschii,1552
Carasobarbus harterti,1553
Carasobarbus fritschii,1554
Carasobarbus fritschii,1555
Carasobarbus fritschii,1556
Labeobarbus gananensis,1557
