CAS_SPC,fullcurrname,synom
1662,Labeobarbus kimberleyensis,
1664,Enteromius kissiensis,
1665,Carasobarbus kosswigi,
1667,Barbus cyri,
1675,Enteromius lamani,
1676,Enteromius laticeps,
1678,Enteromius leonensis,
1679,Enteromius liberiensis,
1680,Enteromius lineomaculatus,
1681,Enteromius quadrilineatus,
1682,Enteromius lornae,
1685,Luciobarbus longiceps,
1686,Labeobarbus longifilis,
1687,Luciobarbus lorteti,
1688,Enteromius loveridgii,
1690,Labeobarbus lucius,
1691,Enteromius lufukiensis,
1692,Enteromius luikae,
1693,Enteromius lujae,
1694,Enteromius lukindae,
1695,Enteromius lukusiensis,
1696,Enteromius luluae,
1697,Carasobarbus luteus,
1699,Enteromius machadoi,
1700,Enteromius macinensis,
1701,Labeobarbus macroceps,
1702,Labeobarbus macrolepis,
1703,Enteromius macrops,
1706,Enteromius macrotaenia,
1707,Enteromius magdalenae,
1708,Labeobarbus malacanthus,
1709,Enteromius manicensis,
1711,Labeobarbus marequensis,
1727,Enteromius marmoratus,
1728,Enteromius martorelli,
1729,Enteromius matthesi,
1730,Enteromius mattozi,
1734,Labeobarbus mawambiensis,
1735,Labeobarbus mbami,
1736,Enteromius mediosquamatus,
1737,Barbus meridionalis,
1739,Barbus petenyi,
1741,Luciobarbus microcephalus,
1742,Labeobarbus micronema,
1744,Enteromius mimus,
1745,Enteromius miolepis,
1750,Enteromius rubrostigma,
1752,Labeobarbus mirabilis,
1753,Enteromius mocoensis,
1754,Enteromius mohasicus,
1755,Tor mosal,
1756,Enteromius motebensis,
1758,Enteromius multilineatus,
1760,Labeobarbus mungoensis,
1761,Luciobarbus mursa,
1764,Barbus miliaris,
1765,Enteromius musumbi,
1769,Labeobarbus nanningsi,
1770,Luciobarbus nasus,
1771,Luciobarbus magniatlantis,
1772,Labeobarbus natalensis,
1784,Enteromius neefi,
1785,Enteromius neglectus,
1786,Enteromius neumayeri,
1794,Enteromius nigeriensis,
1795,Enteromius nigrifilis,
1796,Pethia nigrofasciata,
1797,Enteromius nigroluteus,
1798,Enteromius niokoloensis,
1799,Enteromius nyanzae,
1801,Enteromius okae,
1802,Enteromius oligogrammus,
1804,Enteromius owenae,
1805,Labeobarbus oxyrhynchus,
1817,Labeobarbus pagenstecheri,
1818,Enteromius pallidus,
1821,Enteromius paludinosus,
1827,Enteromius akakianus,
1829,Enteromius papilio,
1830,Enteromius parablabes,
1832,Labeobarbus lobogenysoides,
1833,Luciobarbus pectoralis,
1834,Luciobarbus barbulus,
1835,Enteromius pellegrini,
1838,Enteromius petchkovskyi,
1839,Labeobarbus petitjeani,
1840,Pseudobarbus phlegethon,
1841,Pethia phutunio,
1842,Labeobarbus platyrhinus,
1843,Enteromius pleurogramma,
1844,Clypeobarbus pleuropholis,
1849,Enteromius pobeguini,
1852,Enteromius poechii,
1854,Labeobarbus polylepis,
1856,Barbus prespensis,
1857,Enteromius prionacanthus,
1859,Labeobarbus progenys,
1860,Clypeobarbus pseudognathodon,
1862,Enteromius pumilus,
1863,Enteromius punctitaeniatus,
1864,Enteromius pygmaeus,
1866,Enteromius quadripunctatus,
1867,Enteromius radiatus,
1872,Enteromius profundus,
1876,Enteromius raimbaulti,
1879,Labeobarbus reinii,
1880,Labeobarbus rhinophorus,
1881,Labeobarbus rocadasi,
1882,Enteromius rohani,
1883,Labeobarbus rosae,
1884,Enteromius roussellei,
1885,Enteromius rouxi,
1886,Labeobarbus roylii,
1887,Labeobarbus ruasae,
1888,Labeobarbus sacratus,
1890,Garra sauvagei,
1891,Clypeobarbus schoutedeni,
1892,Barbonymus schwanefeldii,
1893,Cheilobarbus serra,
1894,Enteromius sexradiatus,
1895,Mesopotamichthys sharpeyi,
1898,Dawkinsia srilankensis,
1899,Enteromius stanleyi,
1901,Labeobarbus stappersii,
1905,Enteromius stauchi,
1906,Luciobarbus steindachneri,
1907,Enteromius stigmasemion,
1908,Enteromius stigmatopygus,
1909,Pethia stoliczkana,
1910,Enteromius subinensis,
1911,Enteromius sublineatus,
1912,Luciobarbus subquincunciatus,
1913,Enteromius sylvaticus,
1914,Enteromius syntrechalepis,
1915,Enteromius taeniopleura,
1916,Enteromius taeniurus,
1918,Enteromius tangandensis,
1919,Enteromius tegulifer,
1920,Pseudobarbus tenuis,
1922,Enteromius tetrastigma,
1924,Enteromius thamalakanensis,
1926,Enteromius thysi,
1927,Enteromius tomiensis,
1928,Enteromius tongaensis,
1929,Enteromius toppini,
1931,Labeobarbus trachypterus,
1933,Enteromius treurensis,
1934,Amatolacypris trevelyani,
1936,Enteromius trimaculatus,
1941,Enteromius trinotatus,
1942,Enteromius trispilomimus,
1943,Enteromius trispilopleura,
1944,Enteromius trispilos,
1945,Labeobarbus tropidolepis,
1946,Enteromius unitaeniatus,
1951,Enteromius urostigma,
1952,Labeobarbus urotaenia,
1953,Enteromius usambarae,
1954,Enteromius vanderysti,
1955,Enteromius viktorianus,
1956,Enteromius viviparus,
1957,Enteromius bifrenatus,
1959,Enteromius walkeri,
1960,Enteromius wellmani,
1961,Enteromius werneri,
1962,Luciobarbus xanthopterus,
1963,Enteromius yeiensis,
1964,Enteromius yongei,
1965,Enteromius zalbiensis,
1966,Enteromius zanzibaricus,
1972,Barilius mesopotamicus,
1973,Barilius vagra,
1976,Blicca bjoerkna,
1979,Danio rerio,
1981,Campostoma oligolepis,
1982,Campostoma ornatum,
1987,Capoeta buhsei,
1989,Capoeta gracilis,
1990,Capoeta heratensis,
1998,Capoeta umbla,
2001,Capoeta saadii,
2004,Capoeta fusca,
2006,Barbodes semifasciolatus,
2009,Carassius auratus,
2010,Carassius cuvieri,
2012,Carassius langsdorfii,
2013,Carassius gibelio,
2015,Chelaethiops bibie,
2016,Chelaethiops congicus,
2020,Chelaethiops rukwaensis,
2035,Chondrostoma colchicum,
2036,Chondrostoma kubanicum,
2037,Chondrostoma cyri,
2039,Protochondrostoma genei,
2040,Chondrostoma oxyrhynchum,
2041,Chondrostoma phoxinus,
2042,Pseudochondrostoma polylepis,
2045,Parachondrostoma toxostoma,
2047,Pseudochondrostoma willkommii,
2049,Cirrhinus molitorella,
2050,Cirrhinus mrigala,
2051,Cirrhinus reba,
2053,Clinostomus funduloides,
2054,Cyprinion kais,
2058,Cyprinion tenuiradius,
2069,Devario malabaricus,
2070,Dionda diaboli,
2072,Ptychobarbus kaznakovi,
2074,Engraulicypris sardella,
2075,Chanodichthys dabryi,
2081,Garra congoensis,
2082,Garra dembeensis,
2085,Garra vinciguerrae,
2086,Garra hindii,
2089,Garra lancrenonensis,
2090,Garra makiensis,
2094,Garra orientalis,
2095,Garra ornata,
2098,Garra waterloti,
2100,Garra persica,
2101,Garra quadrimaculata,
2103,Garra blanfordii,
2104,Garra aethiopica,
2105,Garra rossica,
2107,Garra wanae,
2108,Garra rufa,
2111,Garra tibanica,
2113,Garra trewavasae,
2114,Siphateles alvordensis,
2115,Gila atraria,
2125,Siphateles boraxobius,
2126,Gila coerulea,
2128,Gila crassicauda,
2129,Gila cypha,
2130,Gila ditaenia,
2131,Gila elegans,
2135,Gila pandora,
2136,Gila purpurea,
2137,Gila robusta,
2139,Gnathopogon caerulescens,
2141,Gobiobotia kolleri,
2142,Gobiobotia longibarba,
2143,Gobiobotia tungi,
2144,Schizopygopsis przewalskii,
2145,Schizopygopsis waddellii,
2147,Hemibarbus labeo,
2148,Hemibarbus longirostris,
2149,Hemibarbus maculatus,
2151,Hybognathus argyritis,
2152,Hybognathus hankinsoni,
2153,Hybognathus hayi,
2154,Hybognathus nuchalis,
2155,Hybognathus placitus,
2156,Hybognathus regius,
2157,Macrhybopsis aestivalis,
2159,Hybopsis amblops,
2160,Erimystax cahni,
2161,Oregonichthys crameri,
2164,Hybopsis hypsinotus,
2165,Erimystax insignis,
2167,Hybopsis lineapunctata,
2168,Macrhybopsis meeki,
2170,Hybopsis rubrifrons,
2172,Hybopsis winchelli,
2173,Erimystax x-punctatus,
2174,Cyprinella zanema,
2177,Labeo alluaudi,
2178,Labeo altivelis,
2179,Labeo annectens,
2180,Labeo ansorgii,
2181,Labeo baldasseronii,
2182,Labeo barbatus,
2184,Labeo batesii,
2187,Labeo bottegi,
2188,Labeo boulengeri,
2189,Labeo brachypoma,
2192,Labeo calbasu,
2193,Labeo camerunensis,
2194,Labeo capensis,
2197,Labeo congoro,
2198,Labeo coubie,
2201,Labeo curriei,
2202,Labeo cyclopinnis,
2203,Labeo cyclorhynchus,
2204,Labeo cylindricus,
2211,Labeo degeni,
2212,Bangana dero,
2213,Labeo dhonti,
2214,Labeo djourae,
2215,Labeo dyocheilus,
2216,Labeo falcipinnis,
2219,Labeo forskalii,
2220,Labeo fuelleborni,
2222,Bangana gedrosicus,
2223,Labeo gonius,
2226,Labeo greenii,
2227,Labeo gregorii,
2228,Labeo horie,
2230,Labeo kibimbi,
2231,Labeo kirkii,
2233,Labeo lineatus,
2234,Labeo lividus,
2236,Labeo lukulae,
2238,Labeo luluae,
2239,Labeo lunatus,
2240,Tariqilabeo macmahoni,
2241,Labeo macrostoma,
2242,Labeo mesops,
2243,Labeo mokotoensis,
2244,Labeo molybdinus,
2245,Labeo nasus,
2248,Labeo nigricans,
2249,Labeo vulgaris,
2252,Labeo parvus,
2254,Labeo chariensis,
2255,Labeo nunensis,
2258,Labeo pellegrini,
2259,Labeo percivali,
2261,Labeo quadribarbis,
2263,Labeo rohita,
2264,Labeo rosae,
2266,Labeo rouaneti,
2267,Labeo rubromaculatus,
2269,Labeo ruddi,
2270,Labeo seeberi,
2272,Labeo simpsoni,
2273,Labeo sorex,
2278,Labeo trigliceps,
2286,Labeo longipinnis,
2287,Labeo victorianus,
2289,Labeo werneri,
2290,Labeo worthingtoni,
2291,Psilorhynchus homaloptera,
2292,Psilorhynchus rowleyi,
2293,Psilorhynchus pseudecheneis,
2295,Balitora mysorensis,
2296,Homaloptera bilineata,
2297,Ghatsa montana,
2299,Lefua costata,
2300,Lefua echigonia,
2304,Pangio muraeniformis,
2306,Cobitis arenae,
2307,Cobitis biwae,
2308,Cobitis calderoni,
2309,Sabanejewia caspia,
2310,Sabanejewia caucasica,
2312,Cobitis elongata,
2313,Cobitis bilseli,
2315,Cobitis sibirica,
2317,Sabanejewia larvata,
2318,Cobitis lebedevi,
2319,Cobitis linea,
2320,Cobitis lutheri,
2321,Cobitis macrostigma,
2322,Cobitis simplicispina,
2323,Cobitis sinensis,
2324,Cobitis maroccana,
2326,Cobitis takatsuensis,
2327,Misgurnus anguillicaudatus,
2331,Misgurnus mohoity,
2332,Afronemacheilus abyssinicus,
2333,Schistura acuticephala,
2334,Dzihunia amudarjensis,
2336,Oxynoemacheilus angorae,
2337,Oxynoemacheilus bergianus,
2338,Cobitis striata,
2340,Nemacheilus anguilla,
2341,Rhynchocypris dementjevi,
2349,Lepidomeda albivallis,
2350,Lepidomeda mollispinis,
2351,Leucaspius delineatus,
2352,Squalius irideus,
2353,Pelasgus marathonicus,
2354,Pelasgus stymphalicus,
2358,Petroleuciscus borysthenicus,
2360,Squalius cephaloides,
2361,Squalius cephalus,
2362,Squalius orientalis,
2363,Squalius berak,
2367,Leuciscus danilewskii,
2369,Squalius illyricus,
2370,Squalius latus,
2372,Leuciscus lehmanni,
2373,Squalius lepidus,
2374,Alburnus doriae,
2376,Telestes polylepis,
2379,Telestes souffia,
2380,Telestes muticellus,
2381,Squalius svallize,
2382,Telestes turskyi,
2383,Alburnus ulanus,
2384,Leuciscus waleckii,
2385,Megalobrama amblycephala,
2386,Megalobrama terminalis,
2387,Engraulicypris brevianalis,
2389,Mylopharodon conocephalus,
2390,Mylopharyngodon piceus,
2391,Engraulicypris bredoi,
2393,Neobola fluviatilis,
2394,Neobola moeruensis,
2395,Engraulicypris spinifer,
2396,Neobola stellae,
2397,Neolissochilus benasi,
2399,Neolissochilus blythii,
2400,Neolissochilus compressus,
2401,Neolissochilus dukai,
2402,Neolissochilus hendersoni,
2403,Neolissochilus hexastichus,
2404,Neolissochilus hexagonolepis,
2407,Neolissochilus longipinnis,
2409,Neolissochilus paucisquamatus,
2410,Neolissochilus soroides,
2411,Neolissochilus spinulosus,
2413,Neolissochilus sumatranus,
2414,Neolissochilus thienemanni,
2415,Neolissochilus vittatus,
2416,Neolissochilus wynaadensis,
2417,Nocomis biguttatus,
2418,Nocomis asper,
2419,Nocomis effusus,
2420,Nocomis leptocephalus,
2422,Nocomis micropogon,
2423,Nocomis platyrhynchus,
2424,Nocomis raneyi,
2425,Notropis aguirrepequenoi,
2426,Luxilus albeolus,
2427,Notropis alborus,
2428,Notropis altipinnis,
2429,Notropis amabilis,
2430,Hybopsis amnis,
2431,Notropis amoenus,
2433,Notropis anogenus,
2434,Lythrurus ardens,
2435,Notropis ariommus,
2436,Notropis asperifrons,
2438,Lythrurus atrapiculus,
2439,Notropis atrocaudalis,
2440,Notropis aulidion,
2441,Notropis baileyi,
2442,Notropis bairdi,
2443,Lythrurus bellus,
2444,Lythrurus alegnotus,
2446,Notropis bifrenatus,
2448,Notropis boops,
2449,Notropis braytoni,
2452,Notropis buchanani,
2453,Cyprinella caerulea,
2454,Notropis calientis,
2455,Cyprinella callisema,
2456,Cyprinella callistia,
2457,Cyprinella callitaenia,
2458,Luxilus cerasinus,
2459,Notropis chalybaeus,
2461,Notropis chiliticus,
2462,Notropis chlorocephalus,
2463,Notropis chrosomus,
2464,Luxilus cornutus,
2466,Notropis dorsalis,
2467,Notropis edwardraneyi,
2470,Pteronotropis euryzonus,
2473,Lythrurus fumeus,
2474,Cyprinella galactura,
2476,Cyprinella gibbsi,
2477,Notropis girardi,
2478,Notropis greenei,
2479,Pteronotropis harperi,
2480,Notropis heterodon,
2481,Notropis heterolepis,
2484,Notropis hypsilepis,
2485,Notropis imeldae,
2486,Notropis jemezanus,
2487,Cyprinella leedsi,
2488,Notropis leuciodus,
2489,Lythrurus lirus,
2490,Notropis longirostris,
2491,Notropis lutipinnis,
2492,Cyprinella lutrensis,
2495,Notropis mekistocholas,
2496,Notropis moralesi,
2497,Notropis nazas,
2498,Cyprinella nivea,
2500,Notropis orca,
2502,Notropis oxyrhynchus,
2503,Notropis ozarcanus,
2504,Notropis perpallidus,
2505,Notropis petersoni,
2506,Luxilus pilsbryi,
2507,Notropis potteri,
2510,Cyprinella pyrrhomelas,
2511,Lythrurus roseipinnis,
2513,Notropis rubellus,
2514,Notropis rubricroceus,
2515,Notropis sabinae,
2518,Notropis scepticus,
2519,Notropis semperasper,
2520,Notropis shumardi,
2521,Pteronotropis signipinnis,
