LineageID,NAME,AUTHOR_DATE,COMMONNAME,INDEXNAME,CLASS_NM,ORD_NM,SO_NM,FAM_NM,SF_NM,REMARKS,ClassNum,OrderNum,SuborderNum,FamilyNum,SubfamilyNum,TimeStamp
318,Aplodactylidae,GÃ¼nther 1859,marblefishes,NULL,Actinopteri,Centrarchiformes,Cirrhitioidei,Aplodactylidae,NULL,NULL,8,62.6,4,350,NULL,22:39.0
319,Cheilodactylidae,Bonaparte 1850,fingerfins,fingerfins/morwongs,Actinopteri,Centrarchiformes,Cirrhitioidei,Cheilodactylidae,NULL,NULL,8,62.6,4,351,NULL,11:46.0
320,Latridae,Gill 1862,trumpeters,trumpeters,Actinopteri,Centrarchiformes,Cirrhitioidei,Latridae,NULL,NULL,8,62.6,4,352,NULL,24:38.0
321,Cepolidae,Rafinesque 1815,bandfishes,bandfishes,Actinopteri,Perciformes *sedis mutabilis*,NULL,Cepolidae,NULL,NULL,8,63,NULL,354,NULL,35:24.0
1142,Cepolinae,Rafinesque 1815,NULL,NULL,Actinopteri,Perciformes *sedis mutabilis*,NULL,Cepolidae,Cepolinae,NULL,8,63,NULL,354,1,35:24.0
1143,Owstoniinae,"Jordan, Tanaka & Snyder 1913",NULL,NULL,Actinopteri,Perciformes *sedis mutabilis*,NULL,Cepolidae,Owstoniinae,NULL,8,63,NULL,354,2,35:31.0
322,Mugilidae,Jarocki 1822,mullets,mullets,Actinopteri,Mugiliformes,NULL,Mugilidae,NULL,NULL,8,53,NULL,355,NULL,47:49.0
323,Sphyraenidae,Rafinesque 1815,barracudas,barracudas,Actinopteri,Carangiformes,Centropomoidei,Sphyraenidae,NULL,NULL,8,50,1,356,NULL,00:06.0
325,Labridae,Cuvier 1816,wrasses,wrasses,Actinopteri,Perciformes,Labroidei,Labridae,NULL,NULL,8,64,2,358,NULL,47:02.0
326,Odacidae,GÃ¼nther 1861,cales,NULL,Actinopteri,Perciformes,Labroidei,Odacidae,NULL,NULL,8,64,2,359,NULL,30:50.0
327,Scaridae,Rafinesque 1810,parrotfishes,parrotfishes,Actinopteri,Perciformes,Labroidei,Scaridae,NULL,NULL,8,64,2,360,NULL,32:03.0
641,Scarinae,Rafinesque 1810,NULL,NULL,Actinopteri,Perciformes,Labroidei,Scaridae,Scarinae,NULL,8,64,2,360,1,31:26.0
642,Sparisomatinae,Gill 1893,NULL,NULL,Actinopteri,Perciformes,Labroidei,Scaridae,Sparisomatinae,NULL,8,64,2,360,2,31:10.0
329,Zoarcidae,Swainson 1839,eelpouts,eelpouts,Actinopteri,Perciformes,Zoarcoidei,Zoarcidae,NULL,NULL,8,64,6,362,NULL,35:54.0
893,Gymnelinae,Gill 1863,pouts,NULL,Actinopteri,Perciformes,Zoarcoidei,Zoarcidae,Gymnelinae,NULL,8,64,6,362,5,36:28.0
894,Lycodinae,Gill 1861,NULL,NULL,Actinopteri,Perciformes,Zoarcoidei,Zoarcidae,Lycodinae,NULL,8,64,6,362,2,36:24.0
895,Lycozoarcinae,Andriashev 1939,NULL,NULL,Actinopteri,Perciformes,Zoarcoidei,Zoarcidae,Lycozoarcinae,NULL,8,64,6,362,3,36:23.0
896,Zoarcinae,Swainson 1839,eelpouts,NULL,Actinopteri,Perciformes,Zoarcoidei,Zoarcidae,Zoarcinae,NULL,8,64,6,362,4,35:49.0
332,Anarhichadidae,Bonaparte 1835,wolffishes,wolffishes,Actinopteri,Perciformes,Zoarcoidei,Anarhichadidae,NULL,NULL,8,64,6,362.1,NULL,34:12.0
1224,Neozoarcidae,Jordan & Snyder 1902,NULL,NULL,Actinopteri,Perciformes,Zoarcoidei,Neozoarcidae,NULL,NULL,8,64,6,362.2,NULL,36:22.0
1225,Eulophiidae,Smith 1902,NULL,NULL,Actinopteri,Perciformes,Zoarcoidei,Eulophiidae,NULL,NULL,8,64,6,362.3,NULL,36:29.0
330,Stichaeidae,Gill 1864,pricklebacks,pricklebacks,Actinopteri,Perciformes,Zoarcoidei,Stichaeidae,NULL,NULL,8,64,6,363,NULL,36:00.0
787,Stichaeinae,Gill 1864,NULL,NULL,Actinopteri,Perciformes,Zoarcoidei,Stichaeidae,Stichaeinae,NULL,8,64,6,363,1,36:19.0
790,Chirolophinae,Jordan & Evermann 1898,NULL,NULL,Actinopteri,Perciformes,Zoarcoidei,Stichaeidae,Chirolophinae,NULL,8,64,6,363,3,36:32.0
791,Xiphisterinae,Jordan 1880,NULL,NULL,Actinopteri,Perciformes,Zoarcoidei,Stichaeidae,Xiphisterinae,NULL,8,64,6,363,5,35:57.0
