NAME,LineageID,AUTHOR_DATE,COMMONNAME,INDEXNAME,CLASS_NM,ORD_Parent,ORD_NM,SO_Parent,SO_NM,FAM_Parent,FAM_NM,SF_Parent,SF_NM,Parent_id_fomula,Parent_id,Rank_id,Rank_name,REMARKS,ClassNum,OrderNum,SuborderNum,FamilyNum,SubfamilyNum,TimeStamp
Roestinae,767,Lucena & Menezes 1998,biting tetras,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Acestrorhynchidae,765,Roestinae,765,765,51,Subfamily,NULL,8,37,2,90,2,18:25.0
Heterocharacinae,999,G̩ry 1966,NULL,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Acestrorhynchidae,765,Heterocharacinae,765,765,51,Subfamily,NULL,8,37,2,90,18,18:20.0
Acestrorhynchinae,1051,Eigenmann 1912,freshwater barracudas,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Acestrorhynchidae,765,Acestrorhynchinae,765,765,51,Subfamily,NULL,8,37,2,90,1,17:33.0
Characidae,78,Latreille 1825,characins,characins,Actinopteri,699,Characiformes,873,Characoidei,1304,Characidae,NULL,NULL,1304,1304,50,Family,NULL,8,37,2,91,NULL,17:42.0
Stethaprioninae,704,Eigenmann 1907,American tetras,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Characidae,78,Stethaprioninae,78,78,51,Subfamily,NULL,8,37,2,91,1,18:28.0
Aphyocharacinae,907,Eigenmann 1909,glass characins,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Characidae,78,Aphyocharacinae,78,78,51,Subfamily,NULL,8,37,2,91,14,17:37.0
Characinae,908,Latreille 1825,characines,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Characidae,78,Characinae,78,78,51,Subfamily,NULL,8,37,2,91,12,17:47.0
Tetragonopterinae,909,Gill 1858,NULL,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Characidae,78,Tetragonopterinae,78,78,51,Subfamily,NULL,8,37,2,91,11,18:33.0
Cheirodontinae,911,Eigenmann 1915,cheirodontines,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Characidae,78,Cheirodontinae,78,78,51,Subfamily,NULL,8,37,2,91,15,17:50.0
Aphyoditeinae,1007,G̩ry 1972,NULL,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Characidae,78,Aphyoditeinae,78,78,51,Subfamily,NULL,8,37,2,91,8,17:38.0
Stevardiinae,1008,Gill 1858,NULL,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Characidae,78,Stevardiinae,78,78,51,Subfamily,NULL,8,37,2,91,16,18:28.0
Characids incertae sedis,1137,NULL,NULL,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Characidae,78,Characids incertae sedis,78,78,51,Subfamily,NULL,8,37,2,91,7,17:46.0
Spintherobolinae,1262,Mirande 2018,piquiras,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Characidae,78,Spintherobolinae,78,78,51,Subfamily,NULL,8,37,2,91,9,18:27.0
Exodontinae,1263,Fowler 1958,toothy characins,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Characidae,78,Exodontinae,78,78,51,Subfamily,NULL,8,37,2,91,10,18:17.0
Diplomystidae,79,Eigenmann 1890,diplomystid catfishes,catfishes;diplomystid,Actinopteri,699,Siluriformes,543,Diplomystoidei,1302,Diplomystidae,NULL,NULL,1302,1302,50,Family,NULL,8,38,3,92,NULL,07:36.0
