JourID,JOUR,JOUR_NAME,FULL_NAME,CALLNUMBER,REMARKS,TimeStamp
77,BIOUOC,Boletin del Instituto Oceanografico Universidad de Oriente Cumana,Boletin del Instituto Oceanografico Universidad de Oriente Cumana,NULL,ISSN 0020-417X.  Continued as: Boletin del Instituto Oceanografico de Venezuela Universidad de Oriente (Cumana) ISSN 0798-0639.,03:16.0
78,BIOSP,"Boletim do Instituto Oceanografico, SÃ£o Paulo",NULL,NULL,ISSN 0373-5524.,05:53.0
79,BMCN,"Boletin del Museo de Ciencias Naturales. Caracas, Venezuela.",NULL,NULL,NULL,38:46.0
80,BMHNZ,"Boletim do Museu de HistÃ³ria Natural U.F.M.G. (Universidade Federal de Minas Gerais), Belo Horizonte, Zoologia",Boletim do Museu de Historia Natural U.F.M.G. (Universidade Federal de Minas Gerais) Zoologia,NULL,NULL,29:43.0
81,BMMF,Boletim do Museu Municipal do Funchal,NULL,NULL,Funchal.  ISSN 0870-3876.  Also see as: (HistÃ³ria Natural).,10:14.0
82,BMNRJZ,Boletim do Museu Nacional Rio de Janeiro Zoologia,NULL,060 R477MBZ,NULL,34:42.0
83,BMPEGZN,"Boletim do Museu Paraense Emilio Goeldi, Nova Serie, Zoologia","Boletim do Museu Paraense Emilio Goeldi, Nova Serie, Zoologia",NULL,"Belem.  ISSN 0077-2232.  Continues: Boletim do Museu Paraense Emilo Goeldi, Series Zoology.",11:09.0
84,BSBC,Boletin de la Sociedad de Biologia de ConcepciÃ³n,NULL,574.6 C744B complete,Comception.  ISSN 0037-850X.,12:25.0
86,BMCSNV,Bollettino del Museo Civico di Storia Naturale di Verona,Bollettino del Museo Civico di Storia Naturale di Verona,QH7 V4,Verona.  ISSN 0392-0062.,13:06.0
87,BMIBG,Bollettino dei Musei e degli Istituti Biologici dell'Universita di Genova,Bollettino dei Musei e degli Istituti Biologici dell'Universita di Genova,NULL,Genoa.  ISSN 0373-4110.,14:09.0
88,BPPI,"Bollettino di Pesca, Piscicoltura e Idrobiologia",NULL,NULL,NULL,35:02.0
91,BZ,Bollettino di Zoologia,NULL,590.6 B637,Continued as: The Italian Journal of Zoology.,35:23.0
92,BZB,Bonner Zoologische BeitrÃ¤ge,NULL,590.6 B642 ZB,Bonn.  ISSN 0006-7172.,15:40.0
93,BZM,Bonner Zoologische Monographien,NULL,NULL,Bonn.  ISSN 0302-671X.,57:13.0
94,BMNH,British Museum (Natural History),NULL,NULL,NULL,35:37.0
95,BREN,Brenesia,NULL,NULL,"San Jose, Costa Rica.  ISSN 0304-3711.",17:42.0
96,BREV,Breviora,NULL,QL1 .B74,Cambridge.  ISSN 0006-9698.,18:11.0
97,BRIM,Brimleyana,NULL,NULL,Raleigh. ISSN 0193-4406.  Ceased Publication.,18:46.0
99,BAPSSB,"Bulletin de l'AcadÃ©mie Polonaise des Sciences, Classe 2, SÃ©rie des Sciences Biologiques",Bulletin de l'Academie Polonaise des Sciences Derie des Sciences Biologiques,574.6 P757 Ab   v. 2-29,NULL,46:26.0
100,BAMNH,Bulletin of the American Museum of Natural History,NULL,CAS QH1 .A45 complete [CJF],NULL,35:43.0
101,BAB,Bulletin of Aquatic Biology,NULL,NULL,NULL,35:50.0
102,BBOC,Bulletin of the Bingham Oceanographic Collection Yale University,Bulletin of the Bingham Oceanographic Collection Yale University,576 .931 Y12PB (under Yale Univ. ...),"Absorbed by ""Peabody Museum of Natural History Yale University Bulletin""",36:06.0
103,BBSJ,Bulletin of the Biogeographical Society of Japan,NULL,QH84 .B84,Tokyo.  ISSN 0067-8716.,21:16.0
105,BBSW,Bulletin of the Biological Society of Washington,NULL,QH1 .B551,ISSN 0097-0298.,21:39.0
107,BBMNHZ,Bulletin of the British Museum (Natural History) Zoology,NULL,QL1 .B75,London. ISSN 0007-1498.,22:23.0
108,BBSNS,Bulletin of the Buffalo Society of Natural Sciences,NULL,NULL,Buffalo.  ISSN 0096-4131.,22:56.0
109,BBF,Bulletin of the Bureau of Fisheries,NULL,NULL,NULL,36:38.0
111,BFEYU,Bulletin of the Faculty of Education Yamaguchi University,NULL,NULL,"ISSN 0286-0597.  Transliteration: ""Yamaguchi Daigaku Kyoikugakubu Kenkyu Ronso Shizenkagaku""",24:26.0
